## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-01
Time	18:38:47
Note	

[Acquisition Settings]
Sampling time (s)	5.000E+0
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	0.0000
t_HRS (s)	0.0500
t_LRS (s)	0.0500
t_READ (s)	0.0500
d_HRS (s)	0.0100
d_LRS (s)	0.0100
d_READ (s)	0.0100
Cycles	100

## Data ##
Time_HRS (s)	R_HRS (Ohm)	Time_LRS (s)	R_LRS (Ohm)
7.00000E-2	-8.75686E+2	1.90000E-1	9.43201E+2
3.10000E-1	1.47206E+3	4.30000E-1	-4.06532E+2
5.50000E-1	1.43506E+3	6.70000E-1	1.66778E+3
7.90000E-1	5.95885E+2	9.10000E-1	8.15603E+2
1.03000E+0	-1.14269E+2	1.15000E+0	1.27316E+3
1.27000E+0	2.13313E+3	1.39000E+0	7.28141E+2
1.51000E+0	6.42137E+2	1.63000E+0	1.20323E+3
1.75000E+0	8.67996E+2	1.87000E+0	-3.89959E+2
1.99000E+0	7.82843E+2	2.11000E+0	-5.16581E+2
2.23000E+0	-3.57886E+2	2.35000E+0	-1.74905E+3
2.47000E+0	1.01970E+3	2.59000E+0	5.37705E+2
2.71000E+0	3.15224E+2	2.83000E+0	2.99865E+2
2.95000E+0	1.51959E+3	3.07000E+0	3.01619E+2
3.19000E+0	8.14969E+2	3.31000E+0	-3.16116E+2
3.43000E+0	-5.89193E+1	3.55000E+0	2.04061E+2
3.67000E+0	-7.32018E+2	3.79000E+0	3.44911E+2
3.91000E+0	8.67651E+2	4.03000E+0	-7.88521E+2
4.15000E+0	8.31446E+2	4.27000E+0	-6.54609E+2
4.39000E+0	-6.52177E+1	4.51000E+0	-1.66150E+2
4.63000E+0	4.66710E+2	4.75000E+0	1.47308E+2
4.87000E+0	4.87596E+2	4.99000E+0	5.56730E+1
5.11000E+0	-9.55506E+2	5.23000E+0	9.26044E+1
5.35000E+0	1.12842E+3	5.47000E+0	-6.57787E+2
5.59000E+0	-8.67044E+2	5.71000E+0	1.21929E+3
5.83000E+0	-4.98383E+2	5.95000E+0	-5.69099E+2
6.07000E+0	7.99139E+1	6.19000E+0	6.01671E+1
6.31000E+0	4.46999E+2	6.43000E+0	-2.87216E+2
6.55000E+0	9.78890E+1	6.67000E+0	1.43327E+3
6.79000E+0	6.16663E+2	6.91000E+0	-9.71245E+1
7.03000E+0	-6.09170E+2	7.15000E+0	1.83719E+2
7.27000E+0	-2.59806E+2	7.39000E+0	-2.51801E+2
7.51000E+0	1.65394E+3	7.63000E+0	-8.91137E+2
7.75000E+0	-1.74950E+2	7.87000E+0	3.11586E+2
7.99000E+0	9.11358E+2	8.11000E+0	3.75297E+1
8.23000E+0	6.05047E+2	8.35000E+0	2.30770E+2
8.47000E+0	-5.78396E+2	8.59000E+0	7.85987E+2
8.71000E+0	-1.83736E+2	8.83000E+0	-1.38383E+3
8.95000E+0	4.23026E+2	9.07000E+0	8.04702E+2
9.19000E+0	-1.34283E+3	9.31000E+0	-7.36637E+2
9.43000E+0	6.60609E+1	9.55000E+0	4.43324E+2
9.67000E+0	3.32825E+2	9.79000E+0	1.03140E+2
9.91000E+0	-8.24385E+2	1.00300E+1	-6.25314E+2
1.01500E+1	-5.83577E+1	1.02700E+1	8.94397E+2
1.03900E+1	-8.49176E+2	1.05100E+1	-4.24612E+2
1.06300E+1	6.51534E+2	1.07500E+1	-1.06289E+3
1.08700E+1	1.79463E+2	1.09900E+1	-2.76594E+1
1.11100E+1	-2.66660E+2	1.12300E+1	1.38133E+3
1.13500E+1	6.42996E+1	1.14700E+1	2.68473E+2
1.15900E+1	-5.59504E+2	1.17100E+1	4.52377E+2
1.18300E+1	2.50190E+2	1.19500E+1	3.72647E+2
1.20700E+1	4.17820E+2	1.21900E+1	-8.90024E+2
1.23100E+1	-1.08941E+3	1.24300E+1	1.00342E+3
1.25500E+1	-4.45704E+1	1.26700E+1	-8.11299E+2
1.27900E+1	-1.03410E+3	1.29100E+1	9.52913E+2
1.30300E+1	6.90440E+2	1.31500E+1	-3.53064E+2
1.32700E+1	-2.52176E+1	1.33900E+1	3.38900E+2
1.35100E+1	-2.96826E+2	1.36300E+1	2.49564E+1
1.37500E+1	-8.67839E+2	1.38700E+1	4.51461E+2
1.39900E+1	1.49830E+2	1.41100E+1	1.20797E+2
1.42300E+1	-7.32551E+1	1.43500E+1	-4.05693E+2
1.44700E+1	2.01174E+2	1.45900E+1	-9.20784E+2
1.47100E+1	-5.82170E+1	1.48300E+1	-6.73539E+2
1.49500E+1	5.38758E+2	1.50700E+1	9.51052E+2
1.51900E+1	-7.72550E+2	1.53100E+1	-9.12864E+2
1.54300E+1	2.58000E+2	1.55500E+1	1.81691E+2
1.56700E+1	-9.66598E+2	1.57900E+1	1.46689E+2
1.59100E+1	7.66267E+2	1.60300E+1	7.45448E+2
1.61500E+1	-8.88394E+2	1.62700E+1	-1.45442E+2
1.63900E+1	-3.09266E+2	1.65100E+1	2.18177E+2
1.66300E+1	-5.87867E+2	1.67500E+1	1.73484E+2
1.68700E+1	-9.65727E+1	1.69900E+1	2.55440E+2
1.71100E+1	-1.07182E+3	1.72300E+1	-3.23618E+2
1.73500E+1	8.74365E+2	1.74700E+1	-2.72149E+2
1.75900E+1	1.04003E+3	1.77100E+1	5.29606E+2
1.78300E+1	5.60284E+2	1.79500E+1	-6.42724E+2
1.80700E+1	1.23128E+2	1.81900E+1	-2.18421E+2
1.83100E+1	4.50099E+2	1.84300E+1	2.37335E+2
1.85500E+1	2.56144E+2	1.86700E+1	-7.48844E+2
1.87900E+1	6.02818E+2	1.89100E+1	1.86746E+3
1.90300E+1	1.46463E+3	1.91500E+1	7.84554E+1
1.92700E+1	-2.35293E+2	1.93900E+1	-9.88176E+2
1.95100E+1	4.33534E+2	1.96300E+1	-5.86170E+0
1.97500E+1	3.40447E+1	1.98700E+1	-1.12971E+3
1.99900E+1	-6.40420E+2	2.01100E+1	3.32722E+2
2.02300E+1	6.98074E+2	2.03500E+1	8.49423E+0
2.04700E+1	-3.48800E+2	2.05900E+1	4.64030E+2
2.07100E+1	-1.16395E+3	2.08300E+1	-5.78763E+2
2.09500E+1	-1.49061E+2	2.10700E+1	-4.89152E+2
2.11900E+1	3.12345E+1	2.13100E+1	9.41036E+2
2.14300E+1	-8.58670E+2	2.15500E+1	2.49627E+2
2.16700E+1	2.11560E+2	2.17900E+1	7.37196E+2
2.19100E+1	-8.64104E+2	2.20300E+1	-3.35551E+2
2.21500E+1	-1.14698E+2	2.22700E+1	7.56179E+2
2.23900E+1	1.47874E+3	2.25100E+1	1.07342E+3
2.26300E+1	8.29919E+2	2.27500E+1	-4.77286E+2
2.28700E+1	9.25617E+1	2.29900E+1	-3.36789E+2
2.31100E+1	3.29642E+2	2.32300E+1	-8.59380E+2
2.33500E+1	-5.18902E+2	2.34700E+1	-9.40264E+2
2.35900E+1	-3.22534E+0	2.37100E+1	-1.03198E+3
2.38300E+1	2.57388E+2	2.39500E+1	1.32194E+3
