## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:12:42
Note	

[Acquisition Settings]
Sampling time (s)	1.000E+0
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	1.0000
V_LRS (V)	1.0000
V_READ (V)	1.0000
t_HRS (s)	0.0200
t_LRS (s)	0.0200
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	8.54845E-1	3.36720E-7
1.00000E-3	9.97704E-1	1.22196E-7
2.00000E-3	9.99743E-1	6.90880E-7
3.00000E-3	1.00005E+0	6.82665E-7
4.00000E-3	9.99966E-1	6.71915E-7
5.00000E-3	1.00227E+0	2.70547E-7
6.00000E-3	1.00010E+0	5.53229E-8
7.00000E-3	1.00009E+0	3.31931E-8
8.00000E-3	1.00000E+0	2.47532E-8
9.00000E-3	9.99990E-1	1.99258E-8
1.00000E-2	1.00002E+0	1.53490E-8
1.10000E-2	1.00006E+0	1.43947E-8
1.20000E-2	9.99941E-1	1.38471E-8
1.30000E-2	1.00008E+0	1.13139E-8
1.40000E-2	9.99947E-1	1.06394E-8
1.50000E-2	1.00006E+0	1.00429E-8
1.60000E-2	1.00003E+0	1.00021E-8
1.70000E-2	9.99979E-1	8.54940E-9
1.80000E-2	9.99986E-1	9.09762E-9
1.90000E-2	9.99990E-1	7.44735E-9
2.00000E-2	1.00003E+0	7.70416E-9
2.10000E-2	9.99977E-1	7.63310E-9
2.20000E-2	1.00000E+0	7.63123E-9
2.30000E-2	9.99982E-1	6.95897E-9
2.40000E-2	9.99997E-1	6.61177E-9
2.50000E-2	9.99928E-1	6.87264E-9
2.60000E-2	1.00000E+0	6.28608E-9
2.70000E-2	1.00002E+0	5.86159E-9
2.80000E-2	9.99987E-1	6.19102E-9
2.90000E-2	9.99979E-1	5.23982E-9
3.00000E-2	1.00009E+0	6.23279E-9
3.10000E-2	9.99941E-1	6.04797E-9
3.20000E-2	9.99984E-1	5.25540E-9
3.30000E-2	1.00003E+0	5.28813E-9
3.40000E-2	9.99921E-1	5.42027E-9
3.50000E-2	1.00008E+0	5.49694E-9
3.60000E-2	9.99973E-1	4.55727E-9
3.70000E-2	1.00003E+0	6.00309E-9
3.80000E-2	1.00002E+0	4.23252E-9
3.90000E-2	9.99991E-1	5.38942E-9
4.00000E-2	9.99971E-1	5.01791E-9
4.10000E-2	1.00004E+0	4.98207E-9
4.20000E-2	9.99973E-1	5.26257E-9
4.30000E-2	9.99993E-1	4.76017E-9
4.40000E-2	9.99957E-1	4.90790E-9
4.50000E-2	9.99957E-1	4.34721E-9
4.60000E-2	1.00005E+0	4.02495E-9
4.70000E-2	1.00000E+0	4.95776E-9
4.80000E-2	9.99973E-1	4.16925E-9
4.90000E-2	1.00002E+0	4.91787E-9
5.00000E-2	9.99984E-1	5.02820E-9
5.10000E-2	9.99947E-1	3.38229E-9
5.20000E-2	1.00002E+0	4.82406E-9
5.30000E-2	1.00000E+0	4.84026E-9
5.40000E-2	9.99989E-1	4.10037E-9
5.50000E-2	1.00005E+0	3.85540E-9
5.60000E-2	9.99989E-1	4.51987E-9
5.70000E-2	1.00003E+0	3.71079E-9
5.80000E-2	9.99946E-1	4.91787E-9
5.90000E-2	9.99986E-1	3.61542E-9
6.00000E-2	1.00008E+0	4.03212E-9
6.10000E-2	9.99964E-1	4.35937E-9
6.20000E-2	9.99979E-1	3.65126E-9
6.30000E-2	1.00001E+0	4.47842E-9
6.40000E-2	9.99987E-1	4.34035E-9
6.50000E-2	1.00001E+0	3.35300E-9
6.60000E-2	1.00002E+0	4.46097E-9
6.70000E-2	9.99958E-1	3.90683E-9
6.80000E-2	1.00007E+0	4.43042E-9
6.90000E-2	9.99943E-1	3.70393E-9
7.00000E-2	1.00007E+0	3.84013E-9
7.10000E-2	1.00001E+0	4.26400E-9
7.20000E-2	9.99905E-1	4.14182E-9
7.30000E-2	1.00003E+0	2.96404E-9
7.40000E-2	9.99998E-1	4.07014E-9
7.50000E-2	1.00001E+0	3.62134E-9
7.60000E-2	9.99997E-1	4.27584E-9
7.70000E-2	9.99989E-1	3.54966E-9
7.80000E-2	9.99969E-1	4.38991E-9
7.90000E-2	9.99993E-1	3.59984E-9
8.00000E-2	9.99987E-1	3.58425E-9
8.10000E-2	9.99973E-1	3.30625E-9
8.20000E-2	1.00003E+0	4.28737E-9
8.30000E-2	1.00001E+0	3.03759E-9
8.40000E-2	1.00000E+0	3.98287E-9
8.50000E-2	1.00000E+0	3.31716E-9
8.60000E-2	9.99983E-1	3.61573E-9
8.70000E-2	9.99993E-1	3.81551E-9
8.80000E-2	9.99995E-1	4.42887E-9
8.90000E-2	1.00000E+0	3.02326E-9
9.00000E-2	1.00001E+0	3.43216E-9
9.10000E-2	9.99937E-1	3.88813E-9
9.20000E-2	1.00005E+0	4.09944E-9
9.30000E-2	9.99979E-1	3.76845E-9
9.40000E-2	1.00002E+0	3.07499E-9
9.50000E-2	9.99968E-1	3.07530E-9
9.60000E-2	9.99982E-1	4.10131E-9
9.70000E-2	1.00002E+0	3.63599E-9
9.80000E-2	1.00001E+0	2.96092E-9
9.90000E-2	1.00001E+0	3.66903E-9
