## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:27:50
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-6
Current Limit (A)	1.000E-6

[Waveform Settings]
V_HRS (V)	0.1000
V_LRS (V)	0.1000
V_READ (V)	0.1000
t_HRS (s)	0.0210
t_LRS (s)	0.0210
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0000
Cycles	1

## Data ##
Time (s)	Voltage (V)	Current (A)
0.00000E+0	9.88595E-2	1.17305E-7
5.00000E-4	9.99862E-2	2.35910E-9
1.00000E-3	9.99973E-2	1.44903E-9
1.50000E-3	1.00036E-1	9.57848E-10
2.00000E-3	9.99973E-2	9.26058E-10
2.50000E-3	1.00011E-1	6.63636E-10
3.00000E-3	1.00019E-1	5.27126E-10
3.50000E-3	1.00022E-1	7.28462E-10
4.00000E-3	9.99835E-2	5.60786E-10
4.50000E-3	9.99752E-2	4.78506E-10
5.00000E-3	9.99835E-2	3.96227E-10
5.50000E-3	1.00003E-1	5.48319E-10
6.00000E-3	9.99973E-2	3.95603E-10
6.50000E-3	1.00000E-1	9.32877E-11
7.00000E-3	1.00008E-1	3.63190E-10
7.50000E-3	1.00003E-1	1.52504E-10
8.00000E-3	1.00017E-1	1.07001E-10
8.50000E-3	1.00025E-1	4.12433E-10
9.00000E-3	9.99835E-2	2.39771E-10
9.50000E-3	9.99669E-2	2.00501E-10
1.00000E-2	1.00014E-1	2.27927E-10
1.05000E-2	9.99696E-2	2.52237E-10
1.10000E-2	1.00011E-1	2.53446E-11
1.15000E-2	1.00017E-1	9.20411E-11
1.20000E-2	1.00000E-1	3.10207E-10
1.25000E-2	1.00008E-1	2.76547E-10
1.30000E-2	9.99862E-2	1.56867E-10
1.35000E-2	1.00006E-1	1.08248E-10
1.40000E-2	1.00006E-1	9.14177E-11
1.45000E-2	9.99918E-2	3.06467E-10
1.50000E-2	9.99807E-2	2.34161E-10
