## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Memristor
Date	2024-03-03
Time	03:44:26
Note	

[Acquisition Settings]
Sampling time (s)	5.000E-1
Voltage Range (V)	6.000E+0
Current Range (A)	1.000E-5
Current Limit (A)	1.000E-5

[Waveform Settings]
V_HRS (V)	3.0000
V_LRS (V)	3.0000
V_READ (V)	3.0000
t_HRS (s)	0.0400
t_LRS (s)	0.0000
t_READ (s)	0.0000
d_HRS (s)	0.0000
d_LRS (s)	0.0000
d_READ (s)	0.0050
Cycles	50

## Data ##
Time_HRS (s)	R_HRS (Ohm)	Time_LRS (s)	R_LRS (Ohm)
4.50000E-2	NaN	5.00000E-2	NaN
9.50000E-2	NaN	1.00000E-1	NaN
1.45000E-1	NaN	1.50000E-1	NaN
1.95000E-1	NaN	2.00000E-1	NaN
2.45000E-1	NaN	2.50000E-1	NaN
2.95000E-1	NaN	3.00000E-1	NaN
3.45000E-1	NaN	3.50000E-1	NaN
3.95000E-1	NaN	4.00000E-1	NaN
4.45000E-1	NaN	4.50000E-1	NaN
4.95000E-1	NaN	5.00000E-1	NaN
5.45000E-1	NaN	5.50000E-1	NaN
5.95000E-1	NaN	6.00000E-1	NaN
6.45000E-1	NaN	6.50000E-1	NaN
6.95000E-1	NaN	7.00000E-1	NaN
7.45000E-1	NaN	7.50000E-1	NaN
7.95000E-1	NaN	8.00000E-1	NaN
8.45000E-1	NaN	8.50000E-1	NaN
8.95000E-1	NaN	9.00000E-1	NaN
9.45000E-1	NaN	9.50000E-1	NaN
9.95000E-1	NaN	1.00000E+0	NaN
1.04500E+0	NaN	1.05000E+0	NaN
1.09500E+0	NaN	1.10000E+0	NaN
1.14500E+0	NaN	1.15000E+0	NaN
1.19500E+0	NaN	1.20000E+0	NaN
1.24500E+0	NaN	1.25000E+0	NaN
1.29500E+0	NaN	1.30000E+0	NaN
1.34500E+0	NaN	1.35000E+0	NaN
1.39500E+0	NaN	1.40000E+0	NaN
1.44500E+0	NaN	1.45000E+0	NaN
1.49500E+0	NaN	1.50000E+0	NaN
1.54500E+0	NaN	1.55000E+0	NaN
1.59500E+0	NaN	1.60000E+0	NaN
1.64500E+0	NaN	1.65000E+0	NaN
1.69500E+0	NaN	1.70000E+0	NaN
1.74500E+0	NaN	1.75000E+0	NaN
1.79500E+0	NaN	1.80000E+0	NaN
1.84500E+0	NaN	1.85000E+0	NaN
1.89500E+0	NaN	1.90000E+0	NaN
1.94500E+0	NaN	1.95000E+0	NaN
1.99500E+0	NaN	2.00000E+0	NaN
2.04500E+0	NaN	2.05000E+0	NaN
2.09500E+0	NaN	2.10000E+0	NaN
2.14500E+0	NaN	2.15000E+0	NaN
2.19500E+0	NaN	2.20000E+0	NaN
2.24500E+0	NaN	2.25000E+0	NaN
2.29500E+0	NaN	2.30000E+0	NaN
2.34500E+0	NaN	2.35000E+0	NaN
2.39500E+0	NaN	2.40000E+0	NaN
2.44500E+0	NaN	2.45000E+0	NaN
2.49500E+0	NaN	2.50000E+0	NaN
