## Header ##
[General info]
User	Giorgos_Psaltakis
Device	Sample
Cell area (cm2)	1
Test	Pulsed
Date	2024-03-03
Time	04:20:21
Temperature	21.33
Note	

[Acquisition Settings]
Amplitude (V)	2.500
Frequency (Hz)	1.2
DC Offset (V)	1.250
Duty Cycle (%)	40
Phase (°)	0
Cycles	2

## Data ##
Time (s)	DC Channel Voltage (V)	DC Channel Current (A)	Pulse Channel Voltage (V)	Pulse Channel Current (A)
0.00000E+0	2.49199E+0	8.04589E-6	1.01269E+0	-2.10685E-7
6.55360E-4	2.49065E+0	1.17157E-5	9.99878E-1	-1.76589E-8
1.31072E-3	2.49199E+0	4.24505E-6	1.00001E+0	-9.88627E-9
1.96608E-3	2.49132E+0	8.04589E-6	9.99982E-1	-8.70200E-9
2.62144E-3	2.49267E+0	1.26331E-5	9.99948E-1	-6.01872E-9
3.27680E-3	2.49267E+0	8.70121E-6	9.99957E-1	-4.45410E-9
3.93216E-3	2.49267E+0	7.12845E-6	9.99995E-1	3.06660E-9
4.58752E-3	2.49199E+0	1.13225E-5	9.99762E-1	2.23754E-8
5.24288E-3	2.49199E+0	6.99739E-6	9.99969E-1	4.38859E-8
5.89824E-3	2.49132E+0	1.31574E-5	1.00010E+0	5.12378E-8
6.55360E-3	2.49065E+0	6.99739E-6	9.99908E-1	5.21496E-8
7.20896E-3	2.49132E+0	4.37612E-6	1.00008E+0	5.26949E-8
7.86432E-3	2.48729E+0	8.96334E-6	9.99900E-1	4.88450E-8
8.51968E-3	2.49132E+0	2.11522E-5	1.00010E+0	4.36966E-8
9.17504E-3	2.48930E+0	8.70121E-6	9.99969E-1	3.79103E-8
9.83040E-3	2.49132E+0	1.45991E-5	1.00005E+0	3.48371E-8
1.04858E-2	2.48998E+0	2.67229E-6	1.00001E+0	3.36667E-8
1.11411E-2	2.49199E+0	1.01429E-5	9.99990E-1	2.84722E-8
1.17965E-2	2.49199E+0	3.58973E-6	1.00002E+0	2.63143E-8
1.24518E-2	2.49132E+0	1.28952E-5	1.00001E+0	2.46517E-8
1.31072E-2	2.48930E+0	1.01429E-5	1.00007E+0	2.24971E-8
1.37626E-2	2.49065E+0	1.22399E-5	9.99957E-1	2.22232E-8
1.44179E-2	2.49065E+0	6.47313E-6	1.00010E+0	1.92162E-8
1.50733E-2	2.49468E+0	4.50718E-6	9.99940E-1	1.81118E-8
1.57286E-2	2.48930E+0	2.07591E-5	1.00001E+0	1.60390E-8
1.63840E-2	2.49334E+0	9.74972E-6	9.99999E-1	1.63722E-8
1.70394E-2	2.49065E+0	2.29871E-5	9.99959E-1	1.27980E-8
1.76947E-2	2.49334E+0	7.12845E-6	1.00003E+0	1.38972E-8
1.83501E-2	2.48998E+0	1.90552E-5	1.00007E+0	1.00177E-8
1.90054E-2	2.48863E+0	1.18467E-5	1.00000E+0	1.11583E-8
1.96608E-2	2.48998E+0	1.28952E-5	9.99982E-1	1.15391E-8
2.03162E-2	2.48863E+0	1.17157E-5	9.99990E-1	1.02312E-8
2.09715E-2	2.48998E+0	1.22399E-5	9.99971E-1	7.91971E-9
2.16269E-2	2.49132E+0	1.21089E-5	1.00012E+0	8.84297E-9
2.22822E-2	2.49199E+0	1.19778E-5	9.99849E-1	8.21352E-9
2.29376E-2	2.49334E+0	7.78377E-6	1.00003E+0	8.08135E-9
2.35930E-2	2.48930E+0	1.05361E-5	1.00005E+0	6.52862E-9
2.42483E-2	2.49267E+0	1.22399E-5	9.99965E-1	6.68741E-9
2.49037E-2	2.49132E+0	1.09293E-5	1.00003E+0	7.29785E-9
2.55590E-2	2.48998E+0	8.57015E-6	9.99959E-1	4.54041E-9
2.62144E-2	2.48796E+0	9.22547E-6	1.00005E+0	6.07602E-9
2.68698E-2	2.49199E+0	1.44680E-5	9.99978E-1	5.10758E-9
2.75251E-2	2.48796E+0	9.88078E-6	1.00007E+0	3.57815E-9
2.81805E-2	2.49267E+0	8.96334E-6	9.99900E-1	6.39360E-9
2.88358E-2	2.48998E+0	1.05361E-5	1.00001E+0	4.30792E-9
2.94912E-2	2.49199E+0	7.78377E-6	9.99986E-1	4.77241E-9
3.01466E-2	2.48796E+0	1.36816E-5	1.00005E+0	4.05310E-9
3.08019E-2	2.49132E+0	6.86632E-6	1.00005E+0	4.15246E-9
3.14573E-2	2.48863E+0	8.04589E-6	1.00004E+0	3.44931E-9
